Entry	Entry name	Gene names
P0AFF2	NUPC_ECOLI	nupC cru b2393 JW2389
P0AAI3	FTSH_ECOLI	ftsH hflB mrsC std tolZ b3178 JW3145
P0ADD2	YJJB_ECOLI	yjjB b4363 JW4327
P0A6F1	CARA_ECOLI	carA pyrA b0032 JW0030
P27842	YIGF_ECOLI	yigF b3817 JW3790
P77211	CUSC_ECOLI	cusC ibeB ylcB b0572 JW0561
P42603	YGJV_ECOLI	ygjV b3090 JW3061
P31680	DJLA_ECOLI	djlA yabH b0055 JW0054
P75683	YAGG_ECOLI	yagG b0270 JW0263
P0AA80	GARP_ECOLI	garP yhaU b3127 JW3096
P23367	MUTL_ECOLI	mutL b4170 JW4128
P17315	CIRA_ECOLI	cirA cir feuA b2155 JW2142
P75804	YLII_ECOLI	yliI b0837 JW0821
P76473	ARNT_ECOLI	arnT pmrK yfbI b2257 JW2251
P0ADY1	PPID_ECOLI	ppiD ybaU b0441 JW0431
P31130	YDEI_ECOLI	ydeI b1536 JW1529
P0A6Y5	HSLO_ECOLI	hslO yrfI b3401 JW5692
P0ACL2	EXUR_ECOLI	exuR b3094 JW3065
P0A6L2	DAPA_ECOLI	dapA b2478 JW2463
P13738	NHAA_ECOLI	nhaA ant b0019 JW0018
P45524	YHET_ECOLI	yheT b3353 JW3316
P12008	AROC_ECOLI	aroC b2329 JW2326
P24077	ENTS_ECOLI	entS ybdA b0591 JW0583
P0ABU2	YCHF_ECOLI	ychF engD gtp1 b1203 JW1194
P31658	HCHA_ECOLI	hchA yedU yzzC b1967 JW1950
P16869	FHUE_ECOLI	fhuE b1102 JW1088
P0A9Q1	ARCA_ECOLI	arcA cpxC dye fexA msp seg sfrA b4401 JW4364
P76398	MDTB_ECOLI	mdtB yegN b2075 JW2060
P0AAG8	MGLA_ECOLI	mglA b2149 JW2136
P15288	PEPD_ECOLI	pepD pepH b0237 JW0227
P0ADT2	YGIB_ECOLI	ygiB b3037 JW5927
P31436	SETC_ECOLI	setC yicK b3659 JW3633
P0AG96	SECE_ECOLI	secE prlG b3981 JW3944
P0ADV1	LPTA_ECOLI	lptA yhbN b3200 JW3167
P0AFD1	NUOE_ECOLI	nuoE b2285 JW2280
P39385	YJIN_ECOLI	yjiN b4336 JW4299
P22525	YCBB_ECOLI	ycbB b0925 JW0908
P0ABV6	TOLR_ECOLI	tolR b0738 JW0728
P0AFF0	NUON_ECOLI	nuoN b2276 JW2271
P0ABA0	ATPF_ECOLI	atpF papF uncF b3736 JW3714
P16926	MREC_ECOLI	mreC b3250 JW3219
P0AFU2	YFBS_ECOLI	yfbS b2292 JW2289
P33026	SETB_ECOLI	setB yeiO b2170 JW2157
P0AGF4	XYLE_ECOLI	xylE b4031 JW3991
P39172	ZNUA_ECOLI	znuA yebL yzzP b1857 JW5831
P30745	MOAA_ECOLI	moaA bisA chlA chlA1 narA b0781 JW0764
P0AD59	IVY_ECOLI	ivy ykfE b0220 JW0210
P23200	MGLC_ECOLI	mglC b2148 JW2135
P0A930	WZA_ECOLI	wza b2062 JW2047
P69380	FIEF_ECOLI	fieF yiiP b3915 JW3886
P24228	DACB_ECOLI	dacB b3182 JW3149
P77754	SPY_ECOLI	spy b1743 JW1732
P0A7Y8	RNPA_ECOLI	rnpA b3704 JW3681
P0ADZ7	YAJC_ECOLI	yajC b0407 JW0397
P0A6H5	HSLU_ECOLI	hslU htpI b3931 JW3902
P0ADW3	YHCB_ECOLI	yhcB b3233 JW5539
P77199	YAIT_ECOLI	yaiT b4580 JW0362/JW5051 b0371 b0374
P23869	PPIB_ECOLI	ppiB b0525 JW0514
P0A7Z4	RPOA_ECOLI	rpoA pez phs sez b3295 JW3257
P45767	YHDX_ECOLI	yhdX b3269 JW5544
P25534	UBIH_ECOLI	ubiH visB b2907 JW2875
P13029	KATG_ECOLI	katG b3942 JW3914
P32714	MDTP_ECOLI	mdtP yjcP b4080 JW4041
P0A7Z0	RPIA_ECOLI	rpiA ygfC b2914 JW5475
P64493	YOAF_ECOLI	yoaF b1793 JW1782
P77156	YDCU_ECOLI	ydcU b1442 JW1437
P0A6S0	FLGH_ECOLI	flgH fla FVIII flaY b1079 JW5153
P27837	YIFK_ECOLI	yifK b3795 JW5595
P0ADU5	YGIW_ECOLI	ygiW b3024 JW2992
